order_id,timestamp,hour,am_pm,ticket_id,unit_price,product_count,total_sale,tvm,tvm_name,tvm_station_sort,tvm_station,tvm_sort_name,payment_type,cc_last_4,faregate_name,gate_station,scan_time,faregate,ridership,date
563,2025-10-27 04:45:42,4,AM,2025918182,2.25,1,2.25,F0115351,TVM50001,TVM50,264th/BAUER,TVM50-264th/BAUER,Visa,1145,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
564,2025-10-27 05:00:40,5,AM,2025347654,2.25,2,4.5,F0115346,TVM48001,TVM48,112th/ALLAPATTAH,TVM48-112th/ALLAPATTAH,Cash,0, FG50002,112th/ALLAPATTAH,2025-10-27 05:02:08,U20150632,1,2025-10-27
564,2025-10-27 05:00:40,5,AM,2025477807,2.25,2,4.5,F0115346,TVM48001,TVM48,112th/ALLAPATTAH,TVM48-112th/ALLAPATTAH,Cash,0, FG43001,112th/ALLAPATTAH,2025-10-27 05:02:05,U20150646,1,2025-10-27
565,2025-10-27 05:02:18,5,AM,2025332583,2.25,1,2.25,F0115348,TVM51001,TVM51,296th/AVACADO,TVM51-296th/AVACADO,Visa,749, FG45001,296th/AVACADO,2025-10-27 05:04:04,U20150642,1,2025-10-27
566,2025-10-27 05:03:35,5,AM,2025971937,2.25,1,2.25,F0115343,TVM96002,TVM96,296th/AVACADO,TVM96-296th/AVACADO,Cash,0, FG45001,296th/AVACADO,2025-10-27 05:04:53,U20150642,1,2025-10-27
567,2025-10-27 05:21:35,5,AM,2025800177,2.25,1,2.25,F0115348,TVM51001,TVM51,296th/AVACADO,TVM51-296th/AVACADO,MASTERCARD,9540, FG45001,296th/AVACADO,2025-10-27 05:23:17,U20150642,1,2025-10-27
568,2025-10-27 05:22:18,5,AM,2025676120,2.25,1,2.25,F0115352,TVM95002,TVM95,264th/BAUER,TVM95-264th/BAUER,Visa,5641, FG96002,264th/BAUER,2025-10-27 05:23:36,U20150629,1,2025-10-27
569,2025-10-27 05:28:09,5,AM,2025121823,2.25,1,2.25,F0115351,TVM50001,TVM50,264th/BAUER,TVM50-264th/BAUER,Visa,6993,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
570,2025-10-27 05:28:32,5,AM,2025022875,2.25,2,4.5,F0115358,TVM52001,TVM52,312th/CAMPBELL,TVM52-312th/CAMPBELL,Cash,0,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
570,2025-10-27 05:28:32,5,AM,2025120712,2.25,2,4.5,F0115358,TVM52001,TVM52,312th/CAMPBELL,TVM52-312th/CAMPBELL,Cash,0,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
571,2025-10-27 05:35:51,5,AM,2025407572,2.25,2,4.5,F0115359,TVM53001,TVM53,CIVIC,TVM53-CIVIC,Visa,1148,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
571,2025-10-27 05:35:51,5,AM,2025585015,2.25,2,4.5,F0115359,TVM53001,TVM53,CIVIC,TVM53-CIVIC,Visa,1148, FG46001,CIVIC,2025-10-27 05:37:02,U20150640,1,2025-10-27
572,2025-10-27 05:37:20,5,AM,2025703443,2.25,1,2.25,F0115352,TVM95002,TVM95,264th/BAUER,TVM95-264th/BAUER,Visa,6958, FG52001,264th/BAUER,2025-10-27 05:38:08,U20150643,1,2025-10-27
573,2025-10-27 05:37:57,5,AM,2025962525,2.25,1,2.25,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:39:27,U20150626,1,2025-10-27
574,2025-10-27 05:38:10,5,AM,2025124300,2.25,1,2.25,F0115359,TVM53001,TVM53,CIVIC,TVM53-CIVIC,Visa,4357, FG46001,CIVIC,2025-10-27 05:38:45,U20150640,1,2025-10-27
575,2025-10-27 05:39:19,5,AM,2025252528,2.25,1,2.25,F0115354,TVM49001,TVM49,244th,TVM49-244th,Cash,0, FG51002,244th,2025-10-27 05:40:24,U20150630,1,2025-10-27
576,2025-10-27 05:39:13,5,AM,2025310911,2.25,1,2.25,F0115360,TVM54001,TVM54,177th/KROME,TVM54-177th/KROME,Cash,0, FG54001,177th/KROME,2025-10-27 05:40:33,U20150639,1,2025-10-27
577,2025-10-27 05:39:46,5,AM,2025805258,2.25,1,2.25,F0115353,TVM93002,TVM93,112th/ALLAPATTAH,TVM93-112th/ALLAPATTAH,Cash,0,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
578,2025-10-27 05:41:07,5,AM,2025006839,2.25,3,6.75,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:42:31,U20150626,1,2025-10-27
578,2025-10-27 05:41:07,5,AM,2025074660,2.25,3,6.75,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:42:14,U20150626,1,2025-10-27
578,2025-10-27 05:41:07,5,AM,2025457128,2.25,3,6.75,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:42:26,U20150626,1,2025-10-27
579,2025-10-27 05:41:50,5,AM,2025763315,2.25,1,2.25,F0115348,TVM51001,TVM51,296th/AVACADO,TVM51-296th/AVACADO,Cash,0, FG45001,296th/AVACADO,2025-10-27 05:43:38,U20150642,1,2025-10-27
580,2025-10-27 05:43:05,5,AM,2025877124,2.25,1,2.25,F0115351,TVM50001,TVM50,264th/BAUER,TVM50-264th/BAUER,Visa,7269, FG52001,264th/BAUER,2025-10-27 05:44:10,U20150643,1,2025-10-27
581,2025-10-27 05:44:47,5,AM,2025387258,2.25,4,9.0,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:45:58,U20150626,1,2025-10-27
581,2025-10-27 05:44:47,5,AM,2025396815,2.25,4,9.0,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:46:16,U20150626,1,2025-10-27
581,2025-10-27 05:44:47,5,AM,2025542477,2.25,4,9.0,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:46:13,U20150626,1,2025-10-27
581,2025-10-27 05:44:47,5,AM,2025635709,2.25,4,9.0,F0115347,TVM98002,TVM98,CIVIC,TVM98-CIVIC,MASTERCARD,4973, FG53002,CIVIC,2025-10-27 05:46:04,U20150626,1,2025-10-27
582,2025-10-27 05:45:20,5,AM,2025997946,2.25,1,2.25,F0115351,TVM50001,TVM50,264th/BAUER,TVM50-264th/BAUER,Cash,0, FG52001,264th/BAUER,2025-10-27 05:46:47,U20150643,1,2025-10-27
583,2025-10-27 05:45:46,5,AM,2025116686,2.25,1,2.25,F0115368,TVM89002,TVM89,168th/RICHMOND,TVM89-168th/RICHMOND,Cash,0,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
584,2025-10-27 05:48:29,5,AM,2025578765,2.25,1,2.25,F0115343,TVM96002,TVM96,296th/AVACADO,TVM96-296th/AVACADO,Cash,0, FG45001,296th/AVACADO,2025-10-27 05:49:02,U20150642,1,2025-10-27
585,2025-10-27 05:50:13,5,AM,2025117174,2.25,1,2.25,F0115371,TVM43001,TVM43,152th/CORAL REEF,TVM43-152th/CORAL REEF,Visa,6122, FG48002,152th/CORAL REEF,2025-10-27 05:52:12,U20150636,1,2025-10-27
586,2025-10-27 05:51:27,5,AM,2025781233,2.25,1,2.25,F0115354,TVM49001,TVM49,244th,TVM49-244th,Visa,9018, FG51002,244th,2025-10-27 05:52:09,U20150630,1,2025-10-27
587,2025-10-27 05:58:49,5,AM,2025673374,2.25,1,2.25,F0115352,TVM95002,TVM95,264th/BAUER,TVM95-264th/BAUER,Cash,0, FG96002,264th/BAUER,2025-10-27 05:59:41,U20150629,1,2025-10-27
588,2025-10-27 05:58:36,5,AM,2025234042,2.25,1,2.25,F0115351,TVM50001,TVM50,264th/BAUER,TVM50-264th/BAUER,Cash,0, FG52001,264th/BAUER,2025-10-27 06:00:04,U20150643,1,2025-10-27
589,2025-10-27 05:59:38,5,AM,2025247814,2.25,1,2.25,F0115374,TVM88002,TVM88,152th/CORAL REEF,TVM88-152th/CORAL REEF,MASTERCARD,8864, FG48002,152th/CORAL REEF,2025-10-27 06:03:35,U20150636,1,2025-10-27
590,2025-10-27 06:03:37,6,AM,2025694579,2.25,1,2.25,F0115352,TVM95002,TVM95,264th/BAUER,TVM95-264th/BAUER,Cash,0, FG96002,264th/BAUER,2025-10-27 06:04:14,U20150629,1,2025-10-27
591,2025-10-27 06:03:28,6,AM,2025073123,2.25,2,4.5,F0115371,TVM43001,TVM43,152th/CORAL REEF,TVM43-152th/CORAL REEF,Cash,0,Not Scanned,Not Scanned,Not Scanned,Not Scanned,0,2025-10-27
591,2025-10-27 06:03:28,6,AM,2025775444,2.25,2,4.5,F0115371,TVM43001,TVM43,152th/CORAL REEF,TVM43-152th/CORAL REEF,Cash,0, FG41001,152th/CORAL REEF,2025-10-27 06:04:23,U20150650,1,2025-10-27
593,2025-10-27 06:06:56,6,AM,2025327687,2.25,1,2.25,F0115346,TVM48001,TVM48,112th/ALLAPATTAH,TVM48-112th/ALLAPATTAH,Visa,5835, FG43001,112th/ALLAPATTAH,2025-10-27 06:07:53,U20150646,1,2025-10-27
